policy,metric,nominal_n,nominal_mean,nominal_sd,nominal_median,nominal_iqr,moderate_n,moderate_mean,moderate_sd,moderate_median,moderate_iqr,severe_n,severe_mean,severe_sd,severe_median,severe_iqr
no_twin,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
no_twin,controller_runtime_s,100,0.1159159999999999,0.0078031814283688,0.11665,0.0104999999999999,30,0.3817433333333332,0.0397776378291166,0.36975,0.043775,30,0.3810833333333333,0.0607208825258052,0.36345,0.0261499999999999
no_twin,runtime_s,100,1.5306800000000005,0.1009812383814464,1.5195,0.1435250000000001,30,1.15073,0.0943823958965464,1.12405,0.0865,30,1.1038,0.1332654338606563,1.0704,0.078025
persistence,ens,100,30.0,0.0,30.0,0.0,30,50.0,0.0,50.0,0.0,30,79.66666666666667,1.8257418583505545,80.0,0.0
persistence,saidi,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,saifi,100,0.0612244897959183,6.973850769498386e-18,0.0612244897959183,0.0,30,0.1020408163265305,2.823006427041851e-17,0.1020408163265306,0.0,30,0.1625850340136055,0.0037260037925521,0.1632653061224489,0.0
persistence,restoration_time_seconds,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,critical_load_restored_pct,100,100.0,6.387304196316204e-15,100.0,0.0,30,20.0,40.68381021724862,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,voltage_violation_count,100,12.87,41.13015925084658,0.0,0.0,30,2765.0,835.7063912725529,2592.0,1111.0,30,5890.3,416.0804091717751,5887.0,485.25
persistence,line_overload_count,100,5.47,6.322087303951748,4.0,6.25,30,0.4333333333333333,1.250746903290971,0.0,0.0,30,104.56666666666666,50.88776245637149,101.0,62.5
persistence,switching_operations,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,number_of_islands,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
persistence,isolated_nodes,100,0.0,0.0,0.0,0.0,30,25.633333333333333,6.472665779943421,25.0,9.0,30,36.6,2.4996551486293,38.0,3.0
persistence,actions_taken,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,frequency_deviation_count,100,9629.97,298.1330614394055,9800.0,245.0,30,6611.733333333334,1274.7103236403957,6051.5,1849.75,30,9796.733333333334,12.43169845342066,9800.0,0.0
persistence,average_voltage_pu,100,0.9594897959183676,0.0058456281091607,0.961428571428572,0.0,30,0.4631156462585034,0.1259771433889158,0.4755102040816327,0.1758163265306122,30,0.2493809523809523,0.0490339389821724,0.2220408163265305,0.0587755102040816
persistence,minimum_voltage_pu,100,0.8550000000000001,0.2864357773488754,0.95,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
persistence,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
persistence,controller_runtime_s,100,0.0002119999999999,0.000459969256768,0.0,0.0,30,0.0003733333333333,5.832922809856748e-05,0.0004,0.0001,30,0.0005166666666666,0.0001116748152799,0.0005,0.0001999999999999
persistence,runtime_s,100,1.171884,0.0833854984849029,1.153,0.116975,30,0.5583100000000001,0.0371906768999417,0.55425,0.03945,30,0.5941599999999999,0.1065023639044757,0.55325,0.1120749999999999
random,ens,100,30.0,0.0,30.0,0.0,30,50.0,0.0,50.0,0.0,30,79.66666666666667,1.8257418583505545,80.0,0.0
random,saidi,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
random,saifi,100,0.0612244897959183,6.973850769498386e-18,0.0612244897959183,0.0,30,0.1020408163265305,2.823006427041851e-17,0.1020408163265306,0.0,30,0.1625850340136055,0.0037260037925521,0.1632653061224489,0.0
random,restoration_time_seconds,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
random,critical_load_restored_pct,100,100.0,6.387304196316204e-15,100.0,0.0,30,20.0,40.68381021724862,0.0,0.0,30,0.0,0.0,0.0,0.0
random,voltage_violation_count,100,12.87,41.13015925084658,0.0,0.0,30,2765.0,835.7063912725529,2592.0,1111.0,30,5890.3,416.0804091717751,5887.0,485.25
random,line_overload_count,100,5.47,6.322087303951748,4.0,6.25,30,0.4333333333333333,1.250746903290971,0.0,0.0,30,104.56666666666666,50.88776245637149,101.0,62.5
random,switching_operations,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
random,number_of_islands,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
random,isolated_nodes,100,0.0,0.0,0.0,0.0,30,25.633333333333333,6.472665779943421,25.0,9.0,30,36.6,2.4996551486293,38.0,3.0
random,actions_taken,100,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0,30,200.0,0.0,200.0,0.0
random,frequency_deviation_count,100,9629.97,298.1330614394055,9800.0,245.0,30,6611.733333333334,1274.7103236403957,6051.5,1849.75,30,9796.733333333334,12.43169845342066,9800.0,0.0
random,average_voltage_pu,100,0.9594897959183676,0.0058456281091607,0.961428571428572,0.0,30,0.4631156462585034,0.1259771433889158,0.4755102040816327,0.1758163265306122,30,0.2493809523809523,0.0490339389821724,0.2220408163265305,0.0587755102040816
random,minimum_voltage_pu,100,0.8550000000000001,0.2864357773488754,0.95,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
random,maximum_voltage_pu,100,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0,30,1.0,0.0,1.0,0.0
random,successful_restoration_count,100,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0
random,controller_runtime_s,100,0.001153,0.0010248877740977,0.001,0.002,30,0.0011033333333333,0.0001711690701461,0.0011,0.0001999999999999,30,0.0015466666666666,0.0008589220723888,0.0013,0.0004749999999999
random,runtime_s,100,1.103425,0.2118431559008225,1.0523,0.1115999999999999,30,0.5706866666666666,0.0500696875284378,0.57185,0.067525,30,0.62316,0.2673025389148873,0.5239,0.1136749999999999
