policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
no_predictive,controller_runtime_s,A_nominal -> B_severe,30,0.1175,0.35455000000000003,0.23839999999999997,209.69644222109542,0.0,1.733306644199106e-06
no_predictive,runtime_s,A_nominal -> B_moderate,30,1.3464999999999998,1.283,-0.05059999999999998,-3.9351196452153614,164.0,0.1588554992851956
no_predictive,runtime_s,A_nominal -> B_severe,30,1.3464999999999998,1.1064,-0.22995,-17.282274135672644,2.0,2.1266360107314253e-06
no_reward,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
no_reward,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
no_reward,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_reward,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_reward,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
no_reward,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
no_reward,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_reward,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_reward,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,1.8022101049184185e-05
no_reward,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,1.975565679194216e-07
no_reward,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2543.5,2543.5,,0.0,1.7343976283205784e-06
no_reward,voltage_violation_count,A_nominal -> B_severe,30,0.0,5863.5,5844.0,,0.0,1.7343976283205784e-06
no_reward,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-5.0,,0.0,5.745590380959015e-05
no_reward,line_overload_count,A_nominal -> B_severe,30,5.0,96.0,91.5,,0.0,1.7311263949197286e-06
no_reward,switching_operations,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
no_reward,switching_operations,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
no_reward,number_of_islands,A_nominal -> B_moderate,30,1.0,1.0,0.0,0.0,0.0,1.0
no_reward,number_of_islands,A_nominal -> B_severe,30,1.0,1.0,0.0,0.0,0.0,1.0
no_reward,isolated_nodes,A_nominal -> B_moderate,30,0.0,25.0,25.0,,0.0,1.7040659206732472e-06
no_reward,isolated_nodes,A_nominal -> B_severe,30,0.0,38.0,38.0,,0.0,1.138930880390164e-06
no_reward,actions_taken,A_nominal -> B_moderate,30,200.0,200.0,0.0,0.0,0.0,1.0
no_reward,actions_taken,A_nominal -> B_severe,30,200.0,200.0,0.0,0.0,0.0,1.0
no_reward,frequency_deviation_count,A_nominal -> B_moderate,30,9800.0,8158.5,-1543.5,-15.75,0.0,1.7289484360195754e-06
no_reward,frequency_deviation_count,A_nominal -> B_severe,30,9800.0,9800.0,0.0,0.0,18.0,0.016858470670592964
