stress_level,comparison,controller_a,controller_b,outcome_key,outcome_metric,outcome_direction,n_pairs,mean_a,sd_a,median_a,iqr_a,mean_b,sd_b,median_b,iqr_b,ci95_diff_low,ci95_diff_high,paired_abs_diff_mean,paired_abs_diff_median,paired_rel_diff_pct,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,cohens_d,cliffs_delta,zero_diff_all,threshold,threshold_kind,threshold_value,wilcoxon_p_holm,t_p_holm
moderate,full_stack vs no_twin,full_stack,no_twin,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_twin,full_stack,no_twin,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_twin,full_stack,no_twin,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs no_twin,full_stack,no_twin,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_predictive,full_stack,no_predictive,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_predictive,full_stack,no_predictive,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_predictive,full_stack,no_predictive,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs no_predictive,full_stack,no_predictive,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_reward,full_stack,no_reward,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_reward,full_stack,no_reward,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs no_reward,full_stack,no_reward,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs no_reward,full_stack,no_reward,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
severe,full_stack vs persistence,full_stack,persistence,PO1_ens,stress_cumulative_unserved_energy,lower,30,1498.159321108661,778.4144909116911,1329.7768198597623,645.4373376143187,6317.4683915792975,754.1498069093434,6223.659891244302,731.4453072762144,-5051.858514260985,-4586.7596266802875,-4819.3090704706365,-4786.9457240541215,-78.32570747713925,0.0,1.7343976283205784e-06,-42.38493803671104,1.2163047866248245e-27,-7.738395553721789,-1.0,False,median reduction >= 5%,rel_pct,5.0,6.937590513282314e-06,4.865219146499298e-27
severe,full_stack vs persistence,full_stack,persistence,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
severe,full_stack vs persistence,full_stack,persistence,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
severe,full_stack vs persistence,full_stack,persistence,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
severe,full_stack vs random,full_stack,random,PO1_ens,stress_cumulative_unserved_energy,lower,30,1498.159321108661,778.4144909116911,1329.7768198597623,645.4373376143187,6317.4683915792975,754.1498069093434,6223.659891244302,731.4453072762144,-5051.858514260985,-4586.7596266802875,-4819.3090704706365,-4786.9457240541215,-78.32570747713925,0.0,1.7343976283205784e-06,-42.38493803671104,1.2163047866248245e-27,-7.738395553721789,-1.0,False,median reduction >= 5%,rel_pct,5.0,6.937590513282314e-06,4.865219146499298e-27
severe,full_stack vs random,full_stack,random,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
severe,full_stack vs random,full_stack,random,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
severe,full_stack vs random,full_stack,random,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
